N_rows:	3
N_cols:	3
T:	0.226919
Steps	States	EI
1000000	9	2.20194
2000000	11	2.6389
3000000	15	3.14221
4000000	19	3.53888
5000000	22	3.75759
6000000	26	3.95457
7000000	29	4.07101
8000000	36	4.38804
9000000	47	4.84953
10000000	52	5.01106
11000000	57	5.13478
12000000	58	5.16435
13000000	58	5.16435
14000000	61	5.2223
15000000	64	5.2858
16000000	71	5.41497
17000000	73	5.44767
18000000	73	5.44767
19000000	82	5.64939
20000000	83	5.63155
21000000	86	5.66691
22000000	97	5.8359
23000000	98	5.80473
24000000	99	5.83062
25000000	100	5.83398
26000000	106	5.92581
27000000	107	5.9398
28000000	110	5.96455
29000000	114	6.01214
30000000	117	6.04741
31000000	119	6.06046
32000000	120	6.05734
33000000	123	6.05387
34000000	128	6.10342
35000000	130	6.10459
36000000	132	6.11827
37000000	141	6.21713
38000000	141	6.21457
39000000	147	6.27195
40000000	150	6.30082
41000000	154	6.3321
42000000	159	6.35398
43000000	162	6.38355
44000000	162	6.3738
45000000	164	6.38533
46000000	168	6.41628
47000000	168	6.39325
48000000	170	6.40627
49000000	173	6.43852
50000000	179	6.49319
51000000	189	6.59695
52000000	193	6.61861
53000000	194	6.62464
54000000	205	6.69405
55000000	214	6.7457
56000000	215	6.74544
57000000	216	6.74632
58000000	217	6.75531
59000000	218	6.75947
60000000	226	6.81148
61000000	228	6.81633
62000000	228	6.81614
63000000	230	6.80977
64000000	231	6.8125
65000000	232	6.81206
66000000	232	6.81282
67000000	233	6.80974
68000000	237	6.82729
69000000	237	6.81592
70000000	237	6.81259
71000000	238	6.81346
72000000	239	6.81346
73000000	243	6.83653
74000000	243	6.83883
75000000	246	6.86179
76000000	248	6.87151
77000000	250	6.86714
78000000	250	6.86673
79000000	250	6.86661
80000000	250	6.8639
81000000	252	6.86255
82000000	253	6.86201
83000000	254	6.83722
84000000	254	6.83752
85000000	255	6.8371
86000000	255	6.83657
87000000	256	6.82817
88000000	256	6.82789
89000000	257	6.82687
90000000	257	6.81898
91000000	265	6.85749
92000000	266	6.86215
93000000	268	6.87096
94000000	269	6.87525
95000000	271	6.8796
96000000	271	6.87707
97000000	272	6.86519
98000000	273	6.85684
99000000	273	6.85433
100000000	273	6.84578
