N_rows:	3
N_cols:	3
T:	0.226919
Steps	States	EI
10000000	4	1.16492
20000000	10	2.58478
30000000	15	3.11968
40000000	20	3.43331
50000000	25	3.79112
60000000	29	3.95284
70000000	32	4.02994
80000000	34	4.07409
90000000	36	4.1273
100000000	40	4.29334
110000000	45	4.4598
120000000	47	4.53147
130000000	55	4.82162
140000000	62	4.90416
150000000	66	5.00353
160000000	71	5.09283
170000000	75	5.16691
180000000	84	5.35918
190000000	89	5.43892
200000000	101	5.65973
210000000	103	5.66105
220000000	104	5.66684
230000000	109	5.67651
240000000	114	5.76638
250000000	115	5.76636
260000000	125	5.88715
270000000	127	5.88423
280000000	134	5.9812
290000000	135	5.99029
300000000	137	5.98478
310000000	139	6.01061
320000000	146	6.10971
330000000	149	6.14056
340000000	152	6.15776
350000000	160	6.22502
360000000	171	6.33604
370000000	172	6.32935
380000000	178	6.39917
390000000	182	6.43005
400000000	186	6.46425
410000000	190	6.49587
420000000	191	6.49442
430000000	194	6.51311
440000000	197	6.5201
450000000	198	6.52739
460000000	199	6.53041
470000000	202	6.54907
480000000	205	6.57084
490000000	206	6.57698
500000000	209	6.60317
510000000	214	6.64298
520000000	215	6.64749
530000000	215	6.63131
540000000	218	6.64395
550000000	219	6.64941
560000000	220	6.65009
570000000	223	6.6652
580000000	225	6.66124
590000000	229	6.67552
600000000	230	6.67234
610000000	231	6.67124
620000000	231	6.6714
630000000	232	6.67312
640000000	232	6.67341
650000000	232	6.66582
660000000	233	6.67262
670000000	235	6.68559
680000000	236	6.69081
690000000	237	6.69242
700000000	238	6.69704
710000000	238	6.69362
720000000	239	6.69477
730000000	240	6.69725
740000000	244	6.72964
750000000	246	6.73581
760000000	246	6.72867
770000000	248	6.7437
780000000	249	6.74397
790000000	249	6.73664
800000000	252	6.75687
810000000	255	6.76427
820000000	256	6.76848
830000000	256	6.76076
840000000	256	6.75134
850000000	256	6.75163
860000000	256	6.74873
870000000	257	6.7555
880000000	259	6.76507
890000000	260	6.76755
900000000	264	6.7903
910000000	266	6.80015
920000000	266	6.79323
930000000	266	6.79333
940000000	267	6.80251
950000000	269	6.81453
960000000	270	6.82109
970000000	272	6.82172
980000000	274	6.82757
990000000	276	6.82985
1000000000	277	6.83198
