N_rows:	3
N_cols:	3
T:	0.226919
Steps	States	EI
100000	6	2.16618
200000	12	3.08598
300000	16	3.35543
400000	34	4.4121
500000	42	4.7549
600000	48	4.89112
700000	50	4.9194
800000	59	5.22103
900000	60	5.22679
1000000	64	5.28972
1100000	68	5.32294
1200000	71	5.37628
1300000	77	5.49242
1400000	81	5.52968
1500000	84	5.57286
1600000	87	5.6096
1700000	90	5.64805
1800000	93	5.69301
1900000	97	5.74161
2000000	108	5.824
2100000	115	5.91479
2200000	120	5.97337
2300000	125	5.98982
2400000	128	6.01852
2500000	130	6.02924
2600000	134	6.07676
2700000	136	6.08256
2800000	142	6.16364
2900000	143	6.18038
3000000	145	6.1937
3100000	148	6.23482
3200000	148	6.23263
3300000	149	6.23908
3400000	152	6.24914
3500000	152	6.24922
3600000	152	6.24383
3700000	160	6.3427
3800000	164	6.38224
3900000	170	6.4565
4000000	172	6.46982
4100000	176	6.49522
4200000	179	6.53085
4300000	195	6.6622
4400000	200	6.68946
4500000	209	6.73009
4600000	211	6.74337
4700000	212	6.74903
4800000	213	6.75174
4900000	213	6.75032
5000000	214	6.75276
5100000	215	6.7562
5200000	216	6.76248
5300000	222	6.79414
5400000	228	6.82859
5500000	230	6.84036
5600000	230	6.83762
5700000	230	6.83185
5800000	233	6.83703
5900000	236	6.86077
6000000	239	6.88036
6100000	240	6.87894
6200000	240	6.87728
6300000	244	6.89055
6400000	245	6.89086
6500000	245	6.89176
6600000	246	6.89115
6700000	246	6.89071
6800000	259	6.95763
6900000	263	6.97784
7000000	266	6.99176
7100000	268	7.00479
7200000	272	7.01589
7300000	272	7.01319
7400000	274	7.02264
7500000	275	7.02044
7600000	275	7.01544
7700000	275	7.01404
7800000	276	7.01947
7900000	276	7.02077
8000000	277	7.00872
8100000	280	7.02088
8200000	281	7.02209
8300000	284	7.03124
8400000	288	7.03345
8500000	288	7.03326
8600000	288	7.02796
8700000	288	7.02401
8800000	288	7.02425
8900000	289	7.01469
9000000	291	7.00632
9100000	291	7.00445
9200000	295	7.02602
9300000	296	7.02764
9400000	299	7.04317
9500000	302	7.05685
9600000	305	7.07411
9700000	307	7.07899
9800000	308	7.08097
9900000	309	7.07992
10000000	310	7.07818
10100000	310	7.07444
10200000	311	7.0768
10300000	311	7.07002
10400000	311	7.06913
10500000	317	7.10645
10600000	317	7.1062
10700000	325	7.14758
10800000	328	7.16293
10900000	328	7.16084
11000000	329	7.15953
11100000	330	7.16168
11200000	331	7.16133
11300000	336	7.17239
11400000	336	7.17266
11500000	336	7.17049
11600000	336	7.16029
11700000	337	7.16052
11800000	337	7.15231
11900000	338	7.15961
12000000	339	7.15587
12100000	339	7.14777
12200000	342	7.15565
12300000	342	7.15568
12400000	342	7.15199
12500000	344	7.16086
12600000	346	7.16686
12700000	349	7.17853
12800000	350	7.18104
12900000	350	7.17581
13000000	350	7.17337
13100000	350	7.17093
13200000	356	7.19635
13300000	356	7.19626
13400000	358	7.19593
13500000	358	7.19442
13600000	359	7.19622
13700000	361	7.20132
13800000	363	7.20555
13900000	363	7.20443
14000000	363	7.19703
14100000	363	7.19452
14200000	365	7.19824
14300000	366	7.19136
14400000	367	7.19246
14500000	371	7.21121
14600000	373	7.21725
14700000	373	7.21337
14800000	373	7.21026
14900000	374	7.20618
15000000	374	7.19943
15100000	374	7.19832
15200000	375	7.20014
15300000	375	7.19607
15400000	377	7.20381
15500000	377	7.2034
15600000	380	7.20829
15700000	380	7.20432
15800000	380	7.20168
15900000	381	7.19396
16000000	383	7.19867
16100000	384	7.20182
16200000	386	7.20093
16300000	386	7.19984
